"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","On Get in touch page sending a message must be possible.","4","0","0","0","0"
"","","When on landing page, the 'Get in touch' button must navigate to the correct url.","0","0","1","0","0"
"","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/profile URL.","0","0","1","0","0"
"","Delete profile","Delete profile - User deletes user's account.","0","0","1","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Empty credentials login - User leaves login credential fields empty, and clicks on 'Login' button.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","'Registration' function","Invalid email credential - User registers a new user with invalid email credential.","1","0","0","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/index.html URL.","0","0","1","0","0"
"","","When on landing page, the 'Home' button must navigate to the correct url.","1","0","0","0","0"
"","","A username and password is given. This test verifies login is successful with the given login credentials.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","'Registration' function","Correct credentials - User registers a new user with correct credentials.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Registration' function","Multiple invalid users register - User registers multiple accounts from invalid email credentials stored in a file.","1","0","0","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","Serial data input from file","Multiple invalid users register - User registers multiple accounts from invalid email credentials stored in a file.","1","0","0","0","0"
"","","","0","0","6","0","0"
"","Edit profile","Edit profile - User changes personal information.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","'Terms and conditions' functions","Close - Terms and conditions window is displayed and can be closed by user with button 'X'.","0","0","1","0","0"
"","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/index.html URL.","0","0","2","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Built-in credentials login - User logs in with built-in login credentials.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","'Terms and conditions' functions","Verify text - Terms and conditions window's displayed text must match text stored in 'termsAndConditions.txt'.","0","0","1","0","0"
"","","When on landing page, the 'About' button must navigate to the correct url.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","'Registration' function","Empty credentials - User registers a new user with empty credentials.","1","0","0","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Login tab - User switches to 'Register' tab, then switches back to 'Login' tab.","0","0","2","0","0"
"'Scrolling through multi pages' functions - These tests covers the verification of scrolling through multiple pages.","'Scrolling through multi pages' functions","User is collecting the titles of every blog. The blogs can be found on multiple pages.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","'Terms and conditions' functions","Click out - Terms and conditions window is displayed and user clicks out of the window. The window must remain visible.","0","0","1","0","0"
"","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/blog/ URL.","0","0","1","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Login window - after handling the 'Terms and conditions' window, the 'Login' window is visible by default.","0","0","2","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Registration' function","Multiple valid users register - User registers multiple accounts from valid credentials stored in a file.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","Serial data input from file","Multiple valid users register - User registers multiple accounts from valid credentials stored in a file.","0","0","1","0","0"
"","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/contact/ URL.","0","0","1","0","0"
"","'Logout' function","Logout - User clicks on 'Logout' button.","1","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","'Registration' function","Register tab - By clicking on 'Register' tab, the tab switches to register tab.","0","0","1","0","0"
"","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/landing.html URL.","1","0","0","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","'Terms and conditions' functions","Accept - Terms and conditions window is displayed and can be accepted by user.","0","0","1","0","0"
"","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/about/ URL.","0","0","1","0","0"
