"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Login tab - User switches to 'Register' tab, then switches back to 'Login' tab.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","","Invalid email credential - User registers a new user with invalid email credential.","1","0","0","0","0"
"'Repeated serial data entry from data source' functions - These tests covers the verification of the possibility to perform multiple inputs from data stored in a file.","","Multiple invalid users register - User registers multiple accounts from invalid email credentials stored in a file.","1","0","0","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","","Accept - Terms and conditions window is displayed and can be accepted by user.","0","0","1","0","0"
"'Data modification' functions - These tests covers the verification of 'data modification' functions.","","Edit profile - User changes personal information.","0","0","1","0","0"
"'Saving data' functions - These tests covers the verification of saving data from pages.","","Saving text - User is saving the text of 'November blog' to blogNovember.txt.","0","0","1","0","0"
"'Listing data' functions - These tests covers the verification of data listing functions.","","On 'About' page, user collects all the listed team members.","0","0","1","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","","URL check - User navigates to https://lennertamas.github.io/roxo/contact/ URL.","0","0","1","0","0"
"'Menu button' functions - These tests verifies the control buttons are functioning as expected on the website.","","User on landing page clicks 'Get in touch' button.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","","Verify text - Terms and conditions window's displayed text must match text stored in 'termsAndConditions.txt'.","0","0","1","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","","URL check - User navigates to https://lennertamas.github.io/roxo/blog/ URL.","0","0","1","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","","Built-in credentials login - User logs in with built-in login credentials.","0","0","1","0","0"
"'Repeated serial data entry from data source' functions - These tests covers the verification of the possibility to perform multiple inputs from data stored in a file.","","Multiple valid users register - User registers multiple accounts from valid credentials stored in a file.","0","0","1","0","0"
"'Delete profile' functions - These tests covers the verification of 'deleting user profile' functions.","Delete profile","Delete profile - User deletes user's account.","0","1","0","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","","URL check - User navigates to https://lennertamas.github.io/roxo/profile URL.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","","Correct credentials - User registers a new user with correct credentials.","0","0","1","0","0"
"'Saving data' functions - These tests covers the verification of saving data from pages.","","Saving text - User is saving the text of 'Biggest Rebrands 2019 blog' to blogBiggestRebrands2019.txt.","0","0","1","0","0"
"'Input new data' functions - These tests covers the verification of inputting new data functions.","","On Get in touch page sending a message must be possible.","1","0","0","0","0"
"'Logout' functions - These tests covers the verification of 'logout' function.","'Logout' function","Logout - Logged in user clicks on 'Logout' button. After that, user presses 'back' button in browser.","1","0","0","0","0"
"'Saving data' functions - These tests covers the verification of saving data from pages.","","Saving text - User is saving the text of 'December blog' to blogDecember.txt.","0","0","1","0","0"
"'Menu button' functions - These tests verifies the control buttons are functioning as expected on the website.","","User on landing page, clicks 'Home' button.","1","0","0","0","0"
"'Listing data' functions - These tests covers the verification of data listing functions.","","On 'About' page, user collects all the listed expertises.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","","Close - Terms and conditions window is displayed and can be closed by user with button 'X'.","0","0","1","0","0"
"'Scrolling through multi pages' functions - These tests covers the verification of scrolling through multiple pages.","","User is collecting the titles of every blog. The blogs can be found on multiple pages.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","","Click out - Terms and conditions window is displayed and user clicks out of the window. The window must remain visible.","0","0","1","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Login window - after handling the 'Terms and conditions' window, the 'Login' window is visible by default.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","","Empty credentials - User registers a new user with empty credentials.","1","0","0","0","0"
"'Repeated serial data entry from data source' functions - These tests covers the verification of the possibility to perform multiple inputs from data stored in a file.","","On Get in touch page sending a message must be possible. User is using data stored in a file for repeated serial data entry","1","0","0","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","","URL check - User navigates to https://lennertamas.github.io/roxo/landing.html URL.","1","0","0","0","0"
"'Menu button' functions - These tests verifies the control buttons are functioning as expected on the website.","","User on landing page clicks 'About' button.","0","0","1","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","","URL check - User navigates to https://lennertamas.github.io/roxo/index.html URL.","0","0","1","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","","Empty credentials login - User leaves login credential fields empty, and clicks on 'Login' button.","0","0","1","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","","URL check - User navigates to https://lennertamas.github.io/roxo/about/ URL.","0","0","1","0","0"
"'Saving data' functions - These tests covers the verification of saving data from pages.","","Saving text - User is saving the text of 'Colour of the year 2020 blog' to blogColourOfTheYear2020.txt.","0","0","1","0","0"
"'Logout' functions - These tests covers the verification of 'logout' function.","'Logout' function","Logout - Logged in user clicks on 'Logout' button.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","","Register tab - By clicking on 'Register' tab, the tab switches to register tab.","0","0","1","0","0"
