"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"'Saving data' functions - These tests covers the verification of saving data from pages.","'Saving data' functions","Saving text - User is saving the text of 'Biggest Rebrands 2019 blog' to blogBiggestRebrands2019.txt.","0","0","1","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/about/ URL.","0","0","1","0","0"
"","","","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","'Terms and conditions' functions","Verify text - Terms and conditions window's displayed text must match text stored in 'termsAndConditions.txt'.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","'Terms and conditions' functions","Click out - Terms and conditions window is displayed and user clicks out of the window. The window must remain visible.","0","0","1","0","0"
"'Scrolling through multi pages' functions - These tests covers the verification of scrolling through multiple pages.","'Scrolling through multi pages' functions","User is collecting the titles of every blog. The blogs can be found on multiple pages.","0","0","1","0","0"
"","","On Get in touch page sending a message must be possible.","2","0","0","0","0"
"","","When on landing page, the 'Get in touch' button must navigate to the correct url.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/index.html URL.","0","0","1","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/blog/ URL.","0","0","1","0","0"
"","","A username and password is given. This test verifies login is successful with the given login credentials.","0","0","1","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Built-in credentials login - User logs in with built-in login credentials.","0","0","1","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/index.html URL.","0","0","2","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Empty credentials login - User leaves login credential fields empty, and clicks on 'Login' button.","0","0","1","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Login window - after handling the 'Terms and conditions' window, the 'Login' window is visible by default.","0","0","2","0","0"
"'Input new data' functions - These tests covers the verification of inputting new data functions.","'Input new data' functions","On Get in touch page sending a message must be possible.","1","0","0","0","0"
"","","When on landing page, the 'About' button must navigate to the correct url.","0","0","1","0","0"
"'Login' functions - These tests covers the verifications of login related features and page behaviours.","'Login' function","Login tab - User switches to 'Register' tab, then switches back to 'Login' tab.","0","0","2","0","0"
"'Delete profile' functions - These tests covers the verification of 'deleting user profile' functions.","'Terms and conditions' functions","Delete profile - User deletes user's account.","0","0","1","0","0"
"'Delete profile' functions - These tests covers the verification of 'deleting user profile' functions.","Delete profile","Delete profile - User deletes user's account.","0","0","1","0","0"
"","","When on landing page, the 'Home' button must navigate to the correct url.","1","0","0","0","0"
"'Logout' functions - These tests covers the verification of 'logout' function.","'Terms and conditions' functions","Logout - Logged in user clicks on 'Logout' button.","0","0","1","0","0"
"'Logout' functions - These tests covers the verification of 'logout' function.","'Logout' function","Logout - Logged in user clicks on 'Logout' button.","0","0","1","0","0"
"'Repeated serial data entry from data source' functions - These tests covers the verification of the possibility to perform multiple inputs from data stored in a file.","'Repeated serial data entry from data source' functions","On Get in touch page sending a message must be possible. User is using data stored in a file for repeated serial data entry","1","0","0","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","'Registration' function","Invalid email credential - User registers a new user with invalid email credential.","1","0","0","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","Serial data input from file","Multiple invalid users register - User registers multiple accounts from invalid email credentials stored in a file.","1","0","0","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Registration' function","Multiple invalid users register - User registers multiple accounts from invalid email credentials stored in a file.","1","0","0","0","0"
